Sales Person,Geography,Product,Date,Amount,Boxes
Dennison Crosswaite,UK,Almond Choco,2021-01-01,2037,422
Kelci Walkden,no_data,Almond Choco,2021-01-01,6160,126
Gigi Bohling,Canada,Caramel Stuffed Bars,2021-01-01,1442,200
Madelene Upcott,India,Eclairs,2021-01-01,6979,252
Oby Sorrel,USA,Manuka Honey Choco,2021-01-01,966,71
Brien Boise,USA,After Nines,2021-01-01,7924,124
Jan Morforth,New Zealand,Spicy Special Slims,2021-01-01,2996,88
Marney O'Breen,USA,85% Dark Bars,2021-01-01,1981,471
Gigi Bohling,Canada,Eclairs,2021-01-01,1456,10
Andria Kimpton,USA,White Choc,2021-01-01,5257,577
Kelci Walkden,Australia,Smooth Sliky Salty,2021-01-01,4767,189
Barr Faughny,Canada,White Choc,2021-01-01,4718,67
Barr Faughny,UK,Orange Choco,2021-01-01,9303,82
Barr Faughny,USA,Mint Chip Choco,2021-01-01,14,1
Husein Augar,UK,Caramel Stuffed Bars,2021-01-01,7518,9
Barr Faughny,Canada,Eclairs,2021-01-01,7651,288
Ches Bonnell,USA,Eclairs,2021-01-01,2359,125
Jan Morforth,Canada,85% Dark Bars,2021-01-01,70,396
Marney O'Breen,USA,Smooth Sliky Salty,2021-01-01,399,70
Dotty Strutley,USA,Peanut Butter Cubes,2021-01-01,3801,52
Jan Morforth,Australia,After Nines,2021-01-01,5201,97
Gigi Bohling,USA,After Nines,2021-01-01,2450,55
Oby Sorrel,India,70% Dark Bites,2021-01-01,5131,619
Curtice Advani,USA,White Choc,2021-01-01,5369,26
Oby Sorrel,Australia,Drinking Coco,2021-01-01,728,634
Rafaelita Blaksland,UK,Manuka Honey Choco,2021-01-01,5880,11
Kaine Padly,UK,Spicy Special Slims,2021-01-01,1148,285
Dotty Strutley,India,After Nines,2021-01-01,2058,321
Beverie Moffet,Australia,Manuka Honey Choco,2021-01-01,3906,131
Husein Augar,Australia,70% Dark Bites,2021-01-01,560,676
Husein Augar,New Zealand,Fruit & Nut Bars,2021-01-01,3647,7
Brien Boise,USA,Eclairs,2021-01-01,3038,539
Jan Morforth,USA,Raspberry Choco,2021-01-01,4760,196
Dennison Crosswaite,New Zealand,Organic Choco Syrup,2021-01-01,1750,138
Husein Augar,UK,After Nines,2021-01-01,10241,377
Dennison Crosswaite,UK,99% Dark & Pure,2021-01-01,3500,46
Curtice Advani,UK,Peanut Butter Cubes,2021-01-01,1652,221
Karlen McCaffrey,UK,Milk Bars,2021-01-01,5257,45
Husein Augar,India,50% Dark Bites,2021-01-01,3360,207
Karlen McCaffrey,USA,Raspberry Choco,2021-01-01,7616,208
Curtice Advani,New Zealand,Organic Choco Syrup,2021-01-01,371,31
Husein Augar,USA,Organic Choco Syrup,2021-01-01,1743,77
Husein Augar,Australia,Fruit & Nut Bars,2021-01-01,6251,212
Dennison Crosswaite,India,Caramel Stuffed Bars,2021-01-04,3717,174
Kaine Padly,India,Fruit & Nut Bars,2021-01-04,5712,537
Curtice Advani,UK,Eclairs,2021-01-04,1862,334
Dotty Strutley,India,Orange Choco,2021-01-04,4473,373
Kaine Padly,USA,After Nines,2021-01-04,5509,39
Wilone O'Kielt,UK,Baker's Choco Chips,2021-01-04,4221,103
Dotty Strutley,Australia,Drinking Coco,2021-01-04,707,203
Gunar Cockshoot,India,Mint Chip Choco,2021-01-04,1603,73
Husein Augar,New Zealand,Orange Choco,2021-01-04,11053,217
Rafaelita Blaksland,USA,Baker's Choco Chips,2021-01-04,5740,109
Dennison Crosswaite,New Zealand,99% Dark & Pure,2021-01-04,6958,427
Husein Augar,India,Raspberry Choco,2021-01-04,2478,63
Gunar Cockshoot,UK,Baker's Choco Chips,2021-01-04,1680,609
Gunar Cockshoot,India,Choco Coated Almonds,2021-01-04,3178,119
